24018854	Deficiency of phytochrome B alleviates chilling-induced photoinhibition in rice.	2013	Am J Bot	UNLABELLED: OrderedDict([('@Label', 'UNLABELLED')])
24141117	An efficient method for organic acetylation and use of DL-phosphinothricin as a negative selection agent in argE transgenic rice.	2013	Biochem Biophys Res Commun	We present an efficient method for the production of N-acetyl-L-phosphinothricin (N-AcPt) from commercial DL-phosphinothricin (DL-PPT) by organic acetylation for use as a negative selection agent (NSA) that induces cell death in argE transgenic rice. DL-PPT was efficiently converted into N-AcPt with tetrahydrofuran (THF) and acetic anhydride (Ac2O). Chemical changes were confirmed using NMR and ATR-FTIR analyses. DL-PPT was toxic but N-AcPt did not show cytotoxic effects on leaf discs or seed germination of wild-type rice. Conversely, in argE-hpt transgenic rice, non-toxic N-AcPt showed the negative selection (NS) effect by inducing cell destruction in leaf discs and restricting seed germination. For inducing NS, ≥0.1 mg ml(-1) and ≥0.5 mg ml(-1) of N-AcPt were effective in leaf and seed assays, respectively. Further, the NS effect occurred faster in the leaf assay compared with the seed germination assay, again indicating the leaf assay was a more sensitive indicator of N-AcPt as an NSA to argE transgenic rice than the seed germination assay. This negative selection approach could be useful for the development of selectable marker free transgenic plants in the economically important monocot species and its commercialization for multiple gene transformation.
24140150	Two conidiation-related Zn(II)2Cys6 transcription factor genes in the rice blast fungus.	2013	Fungal Genet Biol	Regulation of gene expression by transcription factors (TFs) helps plant pathogens to interact with the host plants and to sustain a pathogenic lifestyle in the environmental changes. Elucidating novel functions of TFs is, therefore, crucial for understanding pathogenesis mechanisms of plant pathogens. Magnaporthe oryzae, the rice blast pathogen, undergoes a series of developmental morphogenesis to complete its infection cycle. To understand TF genes implicated in pathogenic development of this fungus, two Zn(II)2Cys6 TF genes, MoCOD1 and MoCOD2, whose expression was notably induced during conidiation, were functionally characterized. Targeted deletion of MoCOD1 resulted in defects in conidiation and pathogenicity due to defects in appressorium formation and invasive growth within the host cells. MoCOD2 was also a critical regulator in conidiation and pathogenicity, but not in conidial germination and appressorium formation. When rice plants were inoculated with conidia of the ΔMocod2 mutant, rapid accumulation of dark brown granules was observed around the infection sites in the plant cells and no visible disease symptom was incited. Taken together, both MoCOD1 and MoCOD2 play important roles in conidiation and pathogenicity of the rice blast fungus.
24280045	Overexpression of constitutively active mitogen activated protein kinase kinase 6 enhances tolerance to salt stress in rice.	2013	Rice (N Y)	BACKGROUND: Salinity is one of the most common abiotic stresses encountered by plants in the environment and transgenic approaches offer new opportunities to improve tolerance. The mitogen activated protein kinase (MAPK) kinase (MKK) is a key component of MAPK cascade that plays important roles in intra and extra cellular signaling in plants. In the present study, a MKK from rice (Oryza sativa), OsMKK6 was functionally characterized in salt stress by transforming its constitutively active form.

FINDINGS: OsMKK6 was made constitutively active by mutating serine and threonine to glutamic acid by site directed mutagenesis, and transformed in indica cultivar rice var. Pusa Basmati-1. The transgenic seedlings growing in 200 mM NaCl solution showed increased root/shoot length and weight, less chlorophyll beaching and higher MAPK activity compared to the wild types.

CONCLUSION: Present work suggest role of OsMKK6 gene in salt stress signaling in rice.
24102635	Identification of genes for melatonin synthetic enzymes in 'Red Fuji' apple (Malus domestica Borkh.cv.Red) and their expression and melatonin production during fruit development.	2013	J Pineal Res	Melatonin is present in many edible fruits; however, the presence of melatonin in apple has not previously been reported. In this study, the genes for melatonin synthetic enzymes including tryptophan decarboxylase, tryptamine 5-hydroxylase (T5H), arylalkylamine N-acetyltransferase, and N-acetylserotonin methyltransferase were identified in 'Red Fuji' apple. Each gene has several homologous genes. Sequence analysis shows that these genes have little homology with those of animals and they only have limited homology with known genes of rice melatonin synthetic enzymes. Multiple origins of melatonin synthetic genes during the evolution are expected. The expression of these genes is fully coordinated with melatonin production in apple development. Melatonin levels in apple exhibit an inverse relationship with the content of malondialdehyde, a product of lipid peroxidation. Two major melatonin synthetic peaks appeared on July 17 and on October 8 in both unbagged and bagged apple samples. At the periods mentioned above, apples experienced rapid expansion and increased respiration. These episodes significantly elevate reactive oxygen species production in the apple. Current data further confirmed that melatonin produced in apple was used to neutralize the toxic oxidants and protect the developing apple against oxidative stress.
24098112	Glycogen metabolic genes are involved in trehalose-6-phosphate synthase-mediated regulation of pathogenicity by the rice blast fungus Magnaporthe oryzae.	2013	PLoS Pathog	The filamentous fungus Magnaporthe oryzae is the causal agent of rice blast disease. Here we show that glycogen metabolic genes play an important role in plant infection by M. oryzae. Targeted deletion of AGL1 and GPH1, which encode amyloglucosidase and glycogen phosphorylase, respectively, prevented mobilisation of glycogen stores during appressorium development and caused a significant reduction in the ability of M. oryzae to cause rice blast disease. By contrast, targeted mutation of GSN1, which encodes glycogen synthase, significantly reduced the synthesis of intracellular glycogen, but had no effect on fungal pathogenicity. We found that loss of AGL1 and GPH1 led to a reduction in expression of TPS1 and TPS3, which encode components of the trehalose-6-phosphate synthase complex, that acts as a genetic switch in M. oryzae. Tps1 responds to glucose-6-phosphate levels and the balance of NADP/NADPH to regulate virulence-associated gene expression, in association with Nmr transcriptional inhibitors. We show that deletion of the NMR3 transcriptional inhibitor gene partially restores virulence to a Δagl1Δgph1 mutant, suggesting that glycogen metabolic genes are necessary for operation of the NADPH-dependent genetic switch in M. oryzae.
24090005	Molecular identification of Pomacea canaliculata and P. insularum from rice paddy in different origins in China using mitochondrial adenosine triphosphate subunit 6 gene.	2015	Mitochondrial DNA	To identify Pomacea canaliculata and P. insularum using a molecular approach, the partial sequences of mitochondrial (mt) adenosine triphosphate subunit 6 (patp6) genes of two apple snails species from eight provinces of China were obtained. The intra-specific variations in mt patp6 within P. canaliculata were 0-4.5%, and no sequence difference in this region was observed within P. insularum. However, high inter-specific variations between P. canaliculata and P. insularum were detected, with sequence differences of 8.9-10.1%. Phylogenetic analyses based on sequences of mt patp6 revealed that P. canaliculata and P. insularum were grouped in different clades, but the genetic trees could not reveal geographically genetic relationships of P. canaliculata isolates from different origins. These findings will provide basic information for further study of molecular epidemiology and control of Pomacea invasion in China as well as in the world.
